Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Arian Foster,1616,327,16,12,3,74,89,3.674,3
Jamaal Charles,1467,230,5,10,3,80,70,3.286,2
Michael Turner,1371,334,12,9,1,55,71,4.704,2
Chris Johnson,1364,316,11,13,4,76,55,5.745,2
Maurice Jones-Drew,1324,299,5,8,0,37,75,3.987,2
Adrian Peterson,1298,283,12,9,2,80,70,4.043,1
Rashard Mendenhall,1273,324,13,11,1,50,61,5.311,2
Steven Jackson,1241,330,6,7,1,42,60,5.5,1
Ahmad Bradshaw,1235,276,8,13,2,48,61,4.525,7
Ray Rice,1220,307,5,4,1,50,51,6.02,0
Peyton Hillis,1177,270,11,5,1,48,57,4.737,8
Darren McFadden,1157,223,7,14,4,57,45,4.956,3
Cedric Benson,1111,321,7,2,0,26,59,5.441,7
LeSean McCoy,1080,207,7,7,5,62,48,4.313,1
Matt Forte,1069,237,6,9,2,68,42,5.643,0
BenJarvus Green-Ellis,1008,229,13,4,0,33,62,3.694,0
LeGarrette Blount,1007,201,6,10,3,53,38,5.289,3
Fred Jackson,927,222,5,6,0,39,42,5.286,4
LaDainian Tomlinson,914,219,6,5,0,31,42,5.214,2
Thomas Jones,896,245,6,3,1,70,39,6.282,3
Frank Gore,853,203,3,6,1,64,42,4.833,3
Brandon Jacobs,823,147,9,10,1,73,39,3.769,2
Felix Jones,800,185,1,3,0,34,44,4.205,1
Knowshon Moreno,779,182,5,3,0,35,34,5.353,3
Jonathan Stewart,770,178,2,5,2,48,32,5.563,4
Shonn Greene,766,185,2,1,0,23,40,4.625,2
Ryan Torain,742,164,4,7,1,54,35,4.686,2
Marshawn Lynch,737,202,6,5,0,56,38,5.316,2
Tim Hightower,736,153,5,8,2,80,30,5.1,4
Mike Tolbert,735,182,11,6,0,36,42,4.333,5
Ronnie Brown,734,200,5,1,1,51,40,5,3
Chris Ivory,716,137,5,5,1,55,44,3.114,4
Brandon Jackson,703,190,3,2,1,71,27,7.037,1
Ryan Mathews,678,158,7,4,0,31,25,6.32,4
Mike Vick,676,100,9,8,0,35,38,2.632,4
