Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
DeMarco Murray*+,DAL,26,RB,16,16,392,1845,13,89,51,4.7,115.3,6,6-1,220lb
LeSean McCoy*,PHI,26,RB,16,16,312,1319,5,68,53,4.2,82.4,4,5-11,210lb
Le'Veon Bell*+,PIT,22,RB,16,16,290,1361,8,75,81,4.7,85.1,0,6-1,225lb
Marshawn Lynch *,SEA,28,RB,16,14,280,1306,13,67,79,4.7,81.6,4,5-11,215lb
Matt Forte ,CHI,29,RB,16,16,266,1038,6,65,32,3.9,64.9,2,6-1,221lb
Alfred Morris *,WAS,26,RB,16,16,265,1074,8,53,30,4.1,67.1,2,5-10,222lb
Arian Foster *,HOU,28,RB,13,13,260,1246,8,55,51,4.8,95.8,2,6-1,227lb
Frank Gore,SFO,31,RB,16,16,255,1106,4,55,52,4.3,69.1,2,5-9,212lb
Eddie Lacy,GNB,24,RB,16,16,246,1139,9,60,44,4.6,71.2,3,5-11,250lb
Justin Forsett*,BAL,29,RB,16,14,235,1266,8,57,52,5.4,79.1,2,5-8,195lb
Mark Ingram*,NOR,25,RB,13,9,226,964,9,52,31,4.3,74.2,3,5-9,215lb
Joique Bell,DET,28,rb,15,6,223,860,7,45,57,3.9,57.3,5,5-11,220lb
Jeremy Hill,CIN,22,rb,16,8,222,1124,9,61,85,5.1,70.3,5,6-1,230lb
Andre Williams,NYG,22,rb,16,7,217,721,7,32,50,3.3,45.1,1,6-0,220lb
Lamar Miller,MIA,23,RB,16,16,216,1099,8,57,97,5.1,68.7,3,5-10,221lb
Jamaal Charles*,KAN,28,RB,15,15,206,1033,9,51,63,5.0,68.9,5,5-11,199lb
Andre Ellington,ARI,25,RB,12,12,201,660,3,31,22,3.3,55.0,2,5-9,200lb
Chris Ivory,NYJ,26,RB,16,10,198,821,6,43,71,4.1,51.3,2,6-0,223lb
Steven Jackson,ATL,31,RB,15,15,190,707,6,38,55,3.7,47.1,0,6-2,240lb
C.J. Anderson*,DEN,23,RB,15,7,179,849,8,47,27,4.7,56.6,1,5-8,225lb
Tre Mason,STL,21,RB,12,9,179,765,4,38,89,4.3,63.8,2,5-9,207lb
Jonathan Stewart,CAR,27,RB,13,8,175,809,3,42,69,4.6,62.2,3,5-10,240lb
Terrance West ,CLE,23,RB,14,6,171,673,4,31,36,3.9,48.1,2,5-10,225lb
Alfred Blue,HOU,23,rb,16,3,169,528,2,29,46,3.1,33.0,0,6-2,225lb
Giovani Bernard,CIN,23,RB,13,9,168,680,5,32,89,4.0,52.3,0,5-9,205lb
Rashad Jennings,NYG,29,RB,11,9,167,639,4,39,18,3.8,58.1,1,6-1,234lb
Matt Asiata,MIN,27,RB,15,9,164,570,9,34,19,3.5,38.0,1,5-11,229lb
Branden Oliver,SDG,23,RB,14,7,160,582,3,31,52,3.6,41.6,0,5-8,208lb
Trent Richardson ,IND,24,RB,15,12,159,519,3,27,27,3.3,34.6,2,5-9,228lb
Chris Johnson ,NYJ,29,rb,16,6,155,663,1,22,47,4.3,41.4,1,5-11,195lb
Darren McFadden,OAK,27,RB,16,12,155,534,2,21,25,3.4,33.4,1,6-2,210lb
Bishop Sankey,TEN,22,RB,16,9,152,569,2,26,22,3.7,35.6,2,5-10,209lb
Isaiah Crowell,CLE,21,,16,4,148,607,8,35,35,4.1,37.9,3,5-11,225lb
Fred Jackson,BUF,33,RB,14,9,141,525,2,24,38,3.7,37.5,5,6-1,215lb
Denard Robinson,JAX,24,RB,13,9,135,582,4,24,41,4.3,44.8,2,5-11,199lb
Knile Davis ,KAN,23,,16,1,134,463,6,26,48,3.5,28.9,4,5-11,227lb
Doug Martin ,TAM,25,RB,11,11,134,494,2,24,63,3.7,44.9,0,5-9,210lb
LeGarrette Blount,2TM,28,,16,1,125,547,5,0,50,4.4,34.2,1,6-0,247lb
Ben Tate,2TM,26,,11,6,119,371,4,0,25,3.1,33.7,0,5-11,214lb
Russell Wilson ,SEA,26,QB,16,16,118,849,6,47,55,7.2,53.1,13,5-11,215lb
Jerick McKinnon ,MIN,22,rb,11,6,113,538,0,24,55,4.8,48.9,0,5-9,205lb
Ronnie Hillman,DEN,23,,8,4,106,434,3,20,37,4.1,54.3,1,5-9,200lb
Anthony Dixon,BUF,27,,16,0,105,432,2,14,47,4.1,27.0,1,6-1,239lb
Colin Kaepernick,SFO,27,QB,16,16,104,639,1,28,90,6.1,39.9,8,6-4,225lb
Cam Newton,CAR,25,QB,14,14,103,539,5,48,22,5.2,38.5,12,6-5,245lb
Toby Gerhart ,JAX,27,rb,14,7,101,326,2,23,23,3.2,23.3,1,6-0,234lb
Shane Vereen,NWE,25,RB,16,6,96,391,2,15,19,4.1,24.4,0,5-10,205lb
Shonn Greene,TEN,29,rb,13,5,94,392,2,18,52,4.2,30.2,1,5-10,235lb
Bobby Rainey,TAM,27,rb,15,5,94,406,1,21,31,4.3,27.1,3,5-8,205lb
Stevan Ridley,NWE,25,rb,6,5,94,340,2,17,43,3.6,56.7,0,5-11,220lb
Bernard Pierce,BAL,23,,13,2,93,366,2,20,28,3.9,28.2,1,6-0,222lb
Ahmad Bradshaw,IND,28,,10,1,90,425,2,18,29,4.7,42.5,3,5-11,195lb
Jonas Gray,NWE,24,,8,3,89,412,5,27,20,4.6,51.5,0,5-9,223lb
Donald Brown,SDG,27,,13,3,85,223,0,13,16,2.6,17.2,1,5-11,210lb
James Starks,GNB,28,,16,0,85,333,2,17,41,3.9,20.8,1,6-1,203lb
Carlos Hyde,SFO,24,,14,0,83,333,4,17,28,4.0,23.8,1,6-0,229lb
Latavius Murray,OAK,24,,15,3,82,424,2,18,90,5.2,28.3,1,6-3,230lb
Dan Herron,IND,25,,16,3,78,351,1,17,49,4.5,21.9,4,5-10,212lb
C.J. Spiller,BUF,27,rb,9,5,78,300,0,12,53,3.8,33.3,3,5-11,194lb
Reggie Bush,DET,29,RB,11,9,76,297,2,9,26,3.9,27.0,1,6-0,205lb
Khiry Robinson,NOR,25,,10,3,76,362,3,23,62,4.8,36.2,2,6-0,220lb
Zac Stacy,STL,23,rb,13,5,76,293,1,13,16,3.9,22.5,2,5-9,216lb
Ryan Mathews,SDG,27,rb,6,6,74,330,3,19,32,4.5,55.0,1,6-0,220lb
Robert Turbin,SEA,25,,16,3,74,310,0,16,17,4.2,19.4,1,5-10,225lb
